"nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdgr","rlgatnd","pray","dscrgrp","ctzcntr","brncntr","livecnta","feethngr","facntr","mocntr","ccrdprs","wrclmch","ctrlife","etfruit","eatveg","dosprt","cgtsmok","alcfreq","alcwkdy","alcwknd","alcbnge","height","weighta","medtrun","stflife","gndr","agea","rshpsts","ipstrgva","vacc19","prtvtebe","prtclebe"
30,"5 - Every day",90,6,6,7,"2 - Quite interested","2 - Very little","1 - Not at all able","1 - Not at all","2 - A little confident",5,3,5,3,3,3,4,"Yes",8,"2 - Less than once a month","4-6","3 - About the same","No","3 - Unsafe","3 - Fair","2 - Yes to some extent",6,6,"No",6,"7 - Never","7 - Never","No","Yes","Yes",NA,"No","Yes","Yes",5,"3 - Somewhat worried",7,"3 - Once a day","3 - Once a day",7,"6 - I have never smoked","1 - Every day",111.6,111.6,"2 - Weekly",181,84,"No",8,"Male",64,"Legally married","3 - Somewhat like me","Yes","Vlaams Belang",NA
30,"5 - Every day",600,6,6,5,"2 - Quite interested","3 - Some","3 - Quite able","2 - Very little","3 - Quite confident",5,6,7,4,5,5,5,"Yes",8,"7 - Every day","4-6","3 - About the same","No","1 - Very safe","2 - Good","3 - No",6,5,"No",0,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",7,"3 - Somewhat worried",8,"5 - Less than 4 times a week but at least once a week","3 - Once a day",7,"4 - I don’t smoke now but I used to","3 - Once a week",13.2,85.2,"3 - Monthly",160,83,"No",8,"Female",33,"Living with my partner - legally recognised","3 - Somewhat like me","Yes","Groen!","Groen!"
30,"5 - Every day",60,6,6,5,"2 - Quite interested","2 - Very little","2 - A little able","2 - Very little","2 - A little confident",4,5,6,4,4,3,4,"Yes",6,"6 - Several times a week","2","2 - Less than most","No","3 - Unsafe","3 - Fair","3 - No",7,5,"No",3,"7 - Never","7 - Never","Yes","Yes","Yes",NA,"Yes","Yes","Yes",5,"4 - Very worried",6,"3 - Once a day","3 - Once a day",3,"4 - I don’t smoke now but I used to","5 - Once a month",0,26.4,"4 - Less than monthly",157,57,"No",4,"Female",57,"Legally married","2 - Like me","Yes","PVDA",NA
45,"5 - Every day",180,4,5,5,"3 - Hardly interested","2 - Very little","2 - A little able","2 - Very little","2 - A little confident",4,3,7,2,3,6,7,"Yes",5,"6 - Several times a week","3","3 - About the same","No","3 - Unsafe","3 - Fair","3 - No",3,3,"No",3,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",4,"3 - Somewhat worried",5,"3 - Once a day","3 - Once a day",2,"4 - I don’t smoke now but I used to","3 - Once a week",0,13.2,"4 - Less than monthly",186,NA,"No",6,"Female",31,"Legally married","3 - Somewhat like me","Yes","Invalid",NA
30,"5 - Every day",120,5,5,3,"3 - Hardly interested","3 - Some","1 - Not at all able","2 - Very little","2 - A little confident",3,4,5,2,2,3,5,"No",8,"5 - Once a week","4-6","3 - About the same","Yes","3 - Unsafe","2 - Good","3 - No",9,8,"No",4,"5 - Only on special holy days","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",6,"3 - Somewhat worried",8,"3 - Once a day","3 - Once a day",7,"6 - I have never smoked","4 - 2-3 times a month",40,46.2,"5 - Never",162,65,"No",8,"Female",22,NA,"3 - Somewhat like me","Yes",NA,NA
150,"5 - Every day",90,7,7,7,"1 - Very interested","2 - Very little","3 - Quite able","3 - Some","2 - A little confident",4,5,7,5,4,5,6,"Yes",7,"6 - Several times a week","4-6","3 - About the same","No","2 - Safe","2 - Good","3 - No",5,3,"Yes",5,"6 - Less often","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",5,"3 - Somewhat worried",8,"3 - Once a day","4 - Less than once a day but at least 4 times a week",5,"6 - I have never smoked","4 - 2-3 times a month",26.4,26.4,"4 - Less than monthly",165,63,"No",7,"Female",59,"Legally married","4 - A little like me","Yes","CD&V",NA
20,"4 - Most days",300,4,7,6,"3 - Hardly interested","3 - Some","1 - Not at all able","3 - Some","1 - Not at all confident",0,5,5,5,5,5,5,"No",10,"6 - Several times a week","3","4 - More than most","Yes","2 - Safe","2 - Good","3 - No",8,2,"Yes",8,"5 - Only on special holy days","1 - Every day","No","Yes","Yes",NA,"Yes","No","No",7,"4 - Very worried",7,"5 - Less than 4 times a week but at least once a week","1 - Three times or more a day",1,"6 - I have never smoked","7 - Never",NA,NA,"6 - Not applicable",173,60,"No",8,"Female",30,NA,"3 - Somewhat like me","No",NA,NA
120,"5 - Every day",480,3,2,4,"4 - Not at all interested","4 - A lot","3 - Quite able","3 - Some","4 - Very confident",5,3,5,5,5,5,5,"Not eligible to vote",10,"4 - Several times a month","4-6","4 - More than most","Yes","2 - Safe","3 - Fair","3 - No",4,4,"Yes",10,"6 - Less often","6 - Less often","Yes","Yes","Yes",NA,"Yes","Yes","No",5,"4 - Very worried",8,"4 - Less than once a day but at least 4 times a week","2 - Twice a day",4,"5 - I have only smoked a few times","7 - Never",NA,NA,"6 - Not applicable",167,78,"No",9,"Female",19,"Living with my partner - not legally recognised","4 - A little like me","Yes",NA,"Groen!"
60,"5 - Every day",30,6,5,5,"3 - Hardly interested","2 - Very little","2 - A little able","2 - Very little","1 - Not at all confident",6,6,8,6,5,6,6,"Yes",7,"7 - Every day","7-9","4 - More than most","No","2 - Safe","3 - Fair","2 - Yes to some extent",8,7,"No",6,"6 - Less often","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",3,"3 - Somewhat worried",7,"3 - Once a day","3 - Once a day",1,"4 - I don’t smoke now but I used to","4 - 2-3 times a month",13.2,13.2,"5 - Never",160,58,"No",7,"Female",72,NA,"3 - Somewhat like me","Yes","CD&V",NA
0,"5 - Every day",360,6,7,2,"4 - Not at all interested","3 - Some","3 - Quite able","1 - Not at all","3 - Quite confident",1,6,7,0,1,1,2,"No",9,"3 - Once a month","2","1 - Much less than most","No","2 - Safe","2 - Good","3 - No",7,8,"Yes",5,"6 - Less often","3 - Once a week","No","No","No",2015,"Yes","No","No",8,"4 - Very worried",7,"3 - Once a day","3 - Once a day",1,"6 - I have never smoked","4 - 2-3 times a month",0,13.2,"3 - Monthly",170,58,"No",7,"Female",33,"Legally married","2 - Like me","Yes",NA,NA
